Date,Trait,Method,Band_or_Wavelength,Feature_Importance
20250531,LMA,RTM,1,0.03316388953540304
20250531,LMA,RTM,2,0.02011015932934384
20250531,LMA,RTM,3,0.02175295821179612
20250531,LMA,RTM,4,0.022945761213187876
20250531,LMA,RTM,5,0.03106172071926492
20250531,LMA,RTM,6,0.03555323505751471
20250531,LMA,RTM,7,0.034236136709159634
20250531,LMA,RTM,8,0.03410939660453013
20250531,LMA,RTM,9,0.021012713705594523
20250531,LMA,RTM,10,0.021536681064258028
20250531,LMA,RTM,11,0.051896435719424136
20250531,LMA,RTM,12,0.024876599638392997
20250531,LMA,RTM,13,0.02508812797514227
20250531,LMA,RTM,14,0.013939615746541682
20250531,LMA,RTM,15,0.016181607363636077
20250531,LMA,RTM,16,0.009939113732428725
20250531,LMA,RTM,17,0.015767963243230047
20250531,LMA,RTM,18,0.012412592347187926
20250531,LMA,RTM,19,0.013902174910026249
20250531,LMA,RTM,20,0.015027713918348473
20250531,LMA,RTM,21,0.011098542719503406
20250531,LMA,RTM,22,0.014583187294908678
20250531,LMA,RTM,23,0.017043932266168155
20250531,LMA,RTM,24,0.025180343403147
20250531,LMA,RTM,25,0.019607987098544655
20250531,LMA,RTM,26,0.0257556366692158
20250531,LMA,RTM,27,0.026839239112536696
20250531,LMA,RTM,28,0.030953850259575443
20250531,LMA,RTM,29,0.025247487238730836
20250531,LMA,RTM,30,0.02814864290246389
20250531,LMA,RTM,31,0.018341926284480333
20250531,LMA,RTM,32,0.024875471463407673
20250531,LMA,RTM,33,0.018789229434271505
20250531,LMA,RTM,34,0.01996902650699061
20250531,LMA,RTM,35,0.032756213648058786
20250531,LMA,RTM,36,0.017904698664088323
20250531,LMA,RTM,37,0.021622893826385103
20250531,LMA,RTM,38,0.013637874661211618
20250531,LMA,RTM,39,0.02089286116607191
20250531,LMA,RTM,40,0.01587558694145314
20250531,LMA,RTM,41,0.01672691543198196
20250531,LMA,RTM,42,0.008820630728989068
20250531,LMA,RTM,43,0.019126602915520742
20250531,LMA,RTM,44,0.023468606901929544
20250531,LMA,RTM,45,0.02821801571595367
20250531,LMA,ELC,1,0.05267129922839704
20250531,LMA,ELC,2,0.04226673594314839
20250531,LMA,ELC,3,0.03411250359170187
20250531,LMA,ELC,4,0.03937195086839369
20250531,LMA,ELC,5,0.027526321284772483
20250531,LMA,ELC,6,0.04896678906933577
20250531,LMA,ELC,7,0.03972516800568442
20250531,LMA,ELC,8,0.029431762162575276
20250531,LMA,ELC,9,0.04410492806493834
20250531,LMA,ELC,10,0.07701148191154009
20250531,LMA,ELC,11,0.05393543696076515
20250531,LMA,ELC,12,0.024474243811193265
