Date,Trait,Method,Fold,R2,RMSE
20250531,LMA,RTM,1,0.16348146920915974,8.057481501893152
20250531,LMA,RTM,2,-0.27744209353307325,5.387728189639468
20250531,LMA,RTM,3,-0.053066650671108384,4.415594954988644
20250531,LMA,RTM,4,0.5046647711565344,3.1496069800204554
20250531,LMA,RTM,5,0.033032756665017815,5.795384406774283
20250531,LMA,ELC,1,0.05497631490039001,8.564122698406456
20250531,LMA,ELC,2,-0.044206817377920204,4.871114389120551
20250531,LMA,ELC,3,-0.3356322943763972,4.972843072278779
20250531,LMA,ELC,4,0.27658402491474543,3.8062806174668133
20250531,LMA,ELC,5,0.27034994801579704,5.034237213182344
20250531,LMA,ELC3,1,0.05497631490039001,8.564122698406456
20250531,LMA,ELC3,2,-0.044206817377920204,4.871114389120551
20250531,LMA,ELC3,3,-0.3356322943763972,4.972843072278779
20250531,LMA,ELC3,4,0.27658402491474543,3.8062806174668133
20250531,LMA,ELC3,5,0.27034994801579704,5.034237213182344
20250531,LAI,RTM,1,0.6319371451228541,0.23722641269488395
20250531,LAI,RTM,2,0.8300356976385904,0.23834823328657906
20250531,LAI,RTM,3,0.7854989287643673,0.2826690844105526
20250531,LAI,RTM,4,0.8678565280801892,0.2091711559313724
20250531,LAI,RTM,5,0.6828257828568582,0.2740093846779399
20250531,LAI,ELC,1,0.6922535042298316,0.21691950492559814
20250531,LAI,ELC,2,0.8386518076253169,0.23222829373808057
20250531,LAI,ELC,3,0.7984114112965152,0.27402901629465576
20250531,LAI,ELC,4,0.8766397886736852,0.20210008313621883
20250531,LAI,ELC,5,0.6633679455504203,0.28228918048017093
20250531,LAI,ELC3,1,0.6922535042298316,0.21691950492559814
20250531,LAI,ELC3,2,0.8386518076253169,0.23222829373808057
20250531,LAI,ELC3,3,0.7984114112965152,0.27402901629465576
20250531,LAI,ELC3,4,0.8766397886736852,0.20210008313621883
20250531,LAI,ELC3,5,0.6633679455504203,0.28228918048017093
20250531,LNC,RTM,1,0.44134566358072425,0.37731044586432144
20250531,LNC,RTM,2,0.8244091192481062,0.2652198595819456
20250531,LNC,RTM,3,0.8478842065564006,0.2561111015588093
20250531,LNC,RTM,4,0.7280408520807413,0.3188922776189473
20250531,LNC,RTM,5,0.29734338954207984,0.4680976842230686
20250531,LNC,ELC,1,0.447761193379568,0.375137692465491
20250531,LNC,ELC,2,0.7406071499934006,0.32235474149865856
20250531,LNC,ELC,3,0.8584095518269463,0.24709174062144074
20250531,LNC,ELC,4,0.6700804268772137,0.35123372313413576
20250531,LNC,ELC,5,0.5175161957722261,0.3878879554609376
20250531,LNC,ELC3,1,0.447761193379568,0.375137692465491
20250531,LNC,ELC3,2,0.7406071499934006,0.32235474149865856
20250531,LNC,ELC3,3,0.8584095518269463,0.24709174062144074
20250531,LNC,ELC3,4,0.6700804268772137,0.35123372313413576
20250531,LNC,ELC3,5,0.5175161957722261,0.3878879554609376
20250531,CNC,RTM,1,0.6961951933808778,0.5691931599871579
20250531,CNC,RTM,2,0.8850309570556424,0.5855434855217556
20250531,CNC,RTM,3,0.7842051592968095,0.8451876415422652
20250531,CNC,RTM,4,0.8705142714986077,0.6048440305890026
20250531,CNC,RTM,5,0.76510195940338,0.6446289845817463
20250531,CNC,ELC,1,0.4996220358835528,0.7304852314559956
20250531,CNC,ELC,2,0.9125131382288474,0.5107873283077294
20250531,CNC,ELC,3,0.8250585519682865,0.7609900317928731
20250531,CNC,ELC,4,0.8982065299584385,0.5362809946404362
20250531,CNC,ELC,5,0.7446207678122623,0.672144919450193
20250531,CNC,ELC3,1,0.4996220358835528,0.7304852314559956
20250531,CNC,ELC3,2,0.9125131382288474,0.5107873283077294
20250531,CNC,ELC3,3,0.8250585519682865,0.7609900317928731
20250531,CNC,ELC3,4,0.8982065299584385,0.5362809946404362
20250531,CNC,ELC3,5,0.7446207678122623,0.672144919450193
20250612,LMA,RTM,1,0.21157369497226697,3.091312169447271
20250612,LMA,RTM,2,0.46487740614700845,3.7994457403384416
20250612,LMA,RTM,3,0.31896301619058387,4.569666165435768
