Period,VI,Method,Plot_ID,Nitrogen_Level,Value,Reference_Value,Signed_Error,Absolute_Error
0429,NDVI,RTM,1,N1,0.19446713411963973,0.1835152656199651,0.010951868499674638,0.010951868499674638
0429,NDVI,RTM,2,N1,0.2425104375363024,0.20251810094843037,0.03999233658787202,0.03999233658787202
0429,NDVI,RTM,3,N1,0.21156010640076783,0.19239311726527444,0.01916698913549339,0.01916698913549339
0429,NDVI,RTM,4,N1,0.20092985316948303,0.18992438208268958,0.01100547108679345,0.01100547108679345
0429,NDVI,RTM,5,N1,0.206543790436932,0.21977553522526214,-0.013231744788330141,0.013231744788330141
0429,NDVI,RTM,6,N1,0.2205974858997229,0.2097680685222852,0.0108294173774377,0.0108294173774377
0429,NDVI,RTM,7,N3,0.5095005032050792,0.5218282516811017,-0.012327748476022471,0.012327748476022471
0429,NDVI,RTM,8,N3,0.4198827680058278,0.45519165567365555,-0.03530888766782775,0.03530888766782775
0429,NDVI,RTM,9,N3,0.4613685504668302,0.48362901380654044,-0.022260463339710268,0.022260463339710268
0429,NDVI,RTM,10,N3,0.46376159758183927,0.5649016928704829,-0.1011400952886436,0.1011400952886436
0429,NDVI,RTM,11,N3,0.35794480078903007,0.34446212753755634,0.013482673251473731,0.013482673251473731
0429,NDVI,RTM,12,N3,0.46363664774950314,0.4278329058407679,0.035803741908735254,0.035803741908735254
0429,NDVI,ELC,1,N1,0.1741333070491198,0.1835152656199651,-0.009381958570845284,0.009381958570845284
0429,NDVI,ELC,2,N1,0.22251378337607158,0.20251810094843037,0.019995682427641215,0.019995682427641215
0429,NDVI,ELC,3,N1,0.19138952083497962,0.19239311726527444,-0.001003596430294823,0.001003596430294823
0429,NDVI,ELC,4,N1,0.18049669007425753,0.18992438208268958,-0.009427692008432048,0.009427692008432048
0429,NDVI,ELC,5,N1,0.18636189114356036,0.21977553522526214,-0.03341364408170178,0.03341364408170178
0429,NDVI,ELC,6,N1,0.20037204022811025,0.2097680685222852,-0.009396028294174935,0.009396028294174935
0429,NDVI,ELC,7,N3,0.4928945397512572,0.5218282516811017,-0.028933711929844508,0.028933711929844508
0429,NDVI,ELC,8,N3,0.40181518326885646,0.45519165567365555,-0.05337647240479909,0.05337647240479909
0429,NDVI,ELC,9,N3,0.4439381924070434,0.48362901380654044,-0.039690821399497034,0.039690821399497034
0429,NDVI,ELC,10,N3,0.4463700653812478,0.5649016928704829,-0.11853162748923507,0.11853162748923507
0429,NDVI,ELC,11,N3,0.338837462633152,0.34446212753755634,-0.005624664904404331,0.005624664904404331
0429,NDVI,ELC,12,N3,0.44602950477402986,0.4278329058407679,0.018196598933261976,0.018196598933261976
0429,NDVI,ELC3,1,N1,0.2014726079261909,0.1835152656199651,0.01795734230622581,0.01795734230622581
