Period,VI,Method,Plot_ID,Nitrogen_Level,Value
0429,NDVI,Reference,1,N1,0.1835152656199651
0429,NDVI,Reference,2,N1,0.20251810094843037
0429,NDVI,Reference,3,N1,0.19239311726527444
0429,NDVI,Reference,4,N1,0.18992438208268958
0429,NDVI,Reference,5,N1,0.21977553522526214
0429,NDVI,Reference,6,N1,0.2097680685222852
0429,NDVI,Reference,7,N3,0.5218282516811017
0429,NDVI,Reference,8,N3,0.45519165567365555
0429,NDVI,Reference,9,N3,0.48362901380654044
0429,NDVI,Reference,10,N3,0.5649016928704829
0429,NDVI,Reference,11,N3,0.34446212753755634
0429,NDVI,Reference,12,N3,0.4278329058407679
0429,NDVI,RTM,1,N1,0.19446713411963973
0429,NDVI,RTM,2,N1,0.2425104375363024
0429,NDVI,RTM,3,N1,0.21156010640076783
0429,NDVI,RTM,4,N1,0.20092985316948303
0429,NDVI,RTM,5,N1,0.206543790436932
0429,NDVI,RTM,6,N1,0.2205974858997229
0429,NDVI,RTM,7,N3,0.5095005032050792
0429,NDVI,RTM,8,N3,0.4198827680058278
0429,NDVI,RTM,9,N3,0.4613685504668302
0429,NDVI,RTM,10,N3,0.46376159758183927
0429,NDVI,RTM,11,N3,0.35794480078903007
0429,NDVI,RTM,12,N3,0.46363664774950314
0429,NDVI,ELC,1,N1,0.1741333070491198
0429,NDVI,ELC,2,N1,0.22251378337607158
0429,NDVI,ELC,3,N1,0.19138952083497962
0429,NDVI,ELC,4,N1,0.18049669007425753
0429,NDVI,ELC,5,N1,0.18636189114356036
0429,NDVI,ELC,6,N1,0.20037204022811025
0429,NDVI,ELC,7,N3,0.4928945397512572
0429,NDVI,ELC,8,N3,0.40181518326885646
0429,NDVI,ELC,9,N3,0.4439381924070434
0429,NDVI,ELC,10,N3,0.4463700653812478
0429,NDVI,ELC,11,N3,0.338837462633152
0429,NDVI,ELC,12,N3,0.44602950477402986
0429,NDVI,ELC3,1,N1,0.2014726079261909
0429,NDVI,ELC3,2,N1,0.2555937708569285
0429,NDVI,ELC3,3,N1,0.22066853282604398
0429,NDVI,ELC3,4,N1,0.20869277218344298
0429,NDVI,ELC3,5,N1,0.21301560313275822
0429,NDVI,ELC3,6,N1,0.23011796179540245
0429,NDVI,ELC3,7,N3,0.5575385435466276
0429,NDVI,ELC3,8,N3,0.45735531841727384
0429,NDVI,ELC3,9,N3,0.5017436855830163
0429,NDVI,ELC3,10,N3,0.5046791851115201
0429,NDVI,ELC3,11,N3,0.38373581118455014
0429,NDVI,ELC3,12,N3,0.5071360806527611
0429,NCNI,Reference,1,N1,0.006254898513667015
0429,NCNI,Reference,2,N1,0.007182675599872435
0429,NCNI,Reference,3,N1,0.006770586922052156
0429,NCNI,Reference,4,N1,0.006270160246998863
0429,NCNI,Reference,5,N1,0.008963643099509463
0429,NCNI,Reference,6,N1,0.007962567990343845
0429,NCNI,Reference,7,N3,0.046621918046068925
0429,NCNI,Reference,8,N3,0.03460575004280394
0429,NCNI,Reference,9,N3,0.04473725438224718
0429,NCNI,Reference,10,N3,0.06194521740535156
0429,NCNI,Reference,11,N3,0.02158278698666135
0429,NCNI,Reference,12,N3,0.03128253556415649
0429,NCNI,RTM,1,N1,0.006327476872410996
0429,NCNI,RTM,2,N1,0.009931980649207599
0429,NCNI,RTM,3,N1,0.007454943959656827
0429,NCNI,RTM,4,N1,0.006576259078819025
0429,NCNI,RTM,5,N1,0.007331133017488479
0429,NCNI,RTM,6,N1,0.008238799536842024
0429,NCNI,RTM,7,N3,0.04407977654761008
0429,NCNI,RTM,8,N3,0.02785051275001289
0429,NCNI,RTM,9,N3,0.03766033331200148
0429,NCNI,RTM,10,N3,0.03681507512194799
0429,NCNI,RTM,11,N3,0.020748554545069846
0429,NCNI,RTM,12,N3,0.03467297522057689
0429,NCNI,ELC,1,N1,0.0060844304435837505
0429,NCNI,ELC,2,N1,0.009594574162109081
0429,NCNI,ELC,3,N1,0.007183147971055295
0429,NCNI,ELC,4,N1,0.006334327856879022
0429,NCNI,ELC,5,N1,0.007059608603402352
0429,NCNI,ELC,6,N1,0.007939680922860067
0429,NCNI,ELC,7,N3,0.04303639149559196
0429,NCNI,ELC,8,N3,0.027114915901161364
0429,NCNI,ELC,9,N3,0.03672780123786965
0429,NCNI,ELC,10,N3,0.0359045537658788
0429,NCNI,ELC,11,N3,0.020171615411619777
0429,NCNI,ELC,12,N3,0.033842560251084564
0429,NCNI,ELC3,1,N1,0.007549333066736136
0429,NCNI,ELC3,2,N1,0.011897384045379046
0429,NCNI,ELC3,3,N1,0.008902910744567828
0429,NCNI,ELC3,4,N1,0.00787119850500567
0429,NCNI,ELC3,5,N1,0.008647680131558675
0429,NCNI,ELC3,6,N1,0.009807559980967084
0429,NCNI,ELC3,7,N3,0.056486115681940195
0429,NCNI,ELC3,8,N3,0.034847470743482774
0429,NCNI,ELC3,9,N3,0.047113126625821095
0429,NCNI,ELC3,10,N3,0.04621029423025616
0429,NCNI,ELC3,11,N3,0.025260672830314124
0429,NCNI,ELC3,12,N3,0.044122296693509276
